3pixeldeath,normal,10000,0.178099,0.210047
3pixeldeath,normal,10000,0.153065,0.173092
3pixeldeath,normal,10000,0.14782,0.16284
3pixeldeath,normal,10000,0.152826,0.167847
3pixeldeath,normal,10000,0.149965,0.165939
3pixeldeath,normal,10000,0.158072,0.178099
3pixeldeath,normal,10000,0.147104,0.163078
3pixeldeath,normal,10000,0.147104,0.162125
3pixeldeath,normal,10000,0.147104,0.162125
3pixeldeath,normal,10000,0.148058,0.163078
3pixeldeath,normal,10000,0.153065,0.172138
3pixeldeath,normal,10000,0.180006,0.197887
3pixeldeath,normal,10000,0.153065,0.172138
3pixeldeath,normal,10000,0.14782,0.161886
3pixeldeath,normal,10000,0.174999,0.193119
3pixeldeath,normal,10000,0.145197,0.161171
3pixeldeath,normal,10000,0.197172,0.212193
3pixeldeath,normal,10000,0.147104,0.163078
3pixeldeath,normal,10000,0.153065,0.173092
3pixeldeath,normal,10000,0.175953,0.19908
f0001,normal,2953750,13.728857,16.460896
f0001,normal,2953750,13.629913,16.443014
f0001,normal,2953750,12.635946,14.564037
f0001,normal,2953750,13.633013,16.425133
f0001,normal,2953750,12.362957,14.258862
f0001,normal,2953750,13.572931,16.357899
f0001,normal,2953750,14.03594,15.923977
f0001,normal,2953750,12.367964,14.52899
f0001,normal,2953750,12.424946,14.32085
f0001,normal,2953750,12.358189,14.270067
f0001,normal,2953750,12.356043,14.261961
f0001,normal,2953750,13.738871,15.650988
f0001,normal,2953750,12.545824,14.445782
f0001,normal,2953750,13.563871,16.370058
f0001,normal,2953750,12.413979,14.556885
f0001,normal,2953750,13.948202,15.861034
f0001,normal,2953750,12.423038,14.339924
f0001,normal,2953750,13.868809,16.605854
f0001,normal,2953750,13.978958,16.386986
f0001,normal,2953750,13.84306,16.404152
finger,normal,90000,1.12009,1.232862
finger,normal,90000,1.115084,1.223087
finger,normal,90000,1.044035,1.154184
finger,normal,90000,1.039028,1.149893
finger,normal,90000,1.065016,1.17898
finger,normal,90000,1.036167,1.121044
finger,normal,90000,1.069069,1.153946
finger,normal,90000,0.9799,1.065969
finger,normal,90000,1.035929,1.121998
finger,normal,90000,1.037121,1.125097
finger,normal,90000,1.042843,1.16396
finger,normal,90000,1.070976,1.155853
finger,normal,90000,1.053095,1.175165
finger,normal,90000,0.978947,1.064062
finger,normal,90000,1.040936,1.155853
finger,normal,90000,1.043081,1.157999
finger,normal,90000,1.001835,1.08695
finger,normal,90000,1.070023,1.181126
finger,normal,90000,1.036167,1.126051
finger,normal,90000,1.041174,1.156092
tob,normal,3960576,26.610136,30.191183
tob,normal,3960576,19.168139,22.754192
tob,normal,3960576,19.364119,22.608042
tob,normal,3960576,17.390013,20.100117
tob,normal,3960576,17.370939,20.088911
tob,normal,3960576,19.564152,23.35906
tob,normal,3960576,17.390966,20.107031
tob,normal,3960576,17.379999,19.821167
tob,normal,3960576,19.516945,22.744894
tob,normal,3960576,17.374039,19.840002
tob,normal,3960576,19.243002,22.44401
tob,normal,3960576,19.672155,22.910118
tob,normal,3960576,17.43412,20.103931
tob,normal,3960576,17.447948,20.160913
tob,normal,3960576,19.556999,22.762775
tob,normal,3960576,19.361973,22.437096
tob,normal,3960576,17.507076,20.234108
tob,normal,3960576,19.011974,21.522045
tob,normal,3960576,19.38796,22.334099
tob,normal,3960576,19.364119,22.601128
hard-maze,normal,328680,6.006956,6.432056
hard-maze,normal,328680,5.390882,5.707979
hard-maze,normal,328680,5.373955,5.692959
hard-maze,normal,328680,5.702972,6.134987
hard-maze,normal,328680,5.345106,5.676985
hard-maze,normal,328680,5.831957,6.311893
hard-maze,normal,328680,5.398035,5.716085
hard-maze,normal,328680,5.926847,6.351948
hard-maze,normal,328680,5.467176,5.78618
hard-maze,normal,328680,5.735159,6.155014
hard-maze,normal,328680,5.378962,5.700827
hard-maze,normal,328680,5.882025,6.371975
hard-maze,normal,328680,5.465984,5.783796
hard-maze,normal,328680,6.010056,6.51598
hard-maze,normal,328680,5.45907,5.774021
hard-maze,normal,328680,5.911112,6.409168
hard-maze,normal,328680,6.177902,6.636143
hard-maze,normal,328680,5.958796,6.368876
hard-maze,normal,328680,5.894899,6.300926
hard-maze,normal,328680,5.731106,6.149054
